imdb_title_id,MPAA_rating,Distributor,boxoffice_link
tt0109127,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109127/?ref_=bo_se_r_1
tt0109446,MPAAPG-13,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0109446/?ref_=bo_se_r_1
tt0110305,MPAAPG,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110305/?ref_=bo_se_r_1
tt0110687,MPAAPG,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110687/?ref_=bo_se_r_1
tt0110475,MPAAPG-13,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0110475/?ref_=bo_se_r_1
tt0110167,MPAAPG,TriStar PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110167/?ref_=bo_se_r_1
tt0109219,MPAAPG-13,Fine Line FeaturesSee full company information,https://www.boxofficemojo.com/title/tt0109219/?ref_=bo_se_r_1
tt0109279,MPAAG,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0109279/?ref_=bo_se_r_1
tt0109444,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109444/?ref_=bo_se_r_1
tt0110366,MPAAPG,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110366/?ref_=bo_se_r_1
tt0109068,MPAAPG-13,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0109068/?ref_=bo_se_r_1
tt0106977,MPAAPG-13,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0106977/?ref_=bo_se_r_1
tt0110123,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110123/?ref_=bo_se_r_1
tt0109484,MPAAPG,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0109484/?ref_=bo_se_r_1
tt0110657,MPAAPG,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110657/?ref_=bo_se_r_1
tt0109456,MPAAR,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109456/?ref_=bo_se_r_1
tt0109120,MPAAPG,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109120/?ref_=bo_se_r_1
tt0109288,MPAAPG-13,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109288/?ref_=bo_se_r_1
